0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:18:42 +0900] "GET /comm/member/nicknameDupCheck?memberNickname=te HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:18:42 +0900] "GET /comm/member/nicknameDupCheck?memberNickname=tes HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:18:42 +0900] "GET /comm/member/nicknameDupCheck?memberNickname=test HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:18:42 +0900] "GET /comm/member/nicknameDupCheck?memberNickname=test2 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:18:43 +0900] "GET /comm/member/nicknameDupCheck?memberNickname=test22 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:18:43 +0900] "GET /comm/member/nicknameDupCheck?memberNickname=test222 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:18:47 +0900] "POST /comm/member/signUp HTTP/1.1" 500 4187
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:25:15 +0900] "GET /comm/member/signUp HTTP/1.1" 200 10410
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:25:23 +0900] "GET /comm/member/emailDupCheck?memberEmail=test001%40naver.co HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:25:23 +0900] "GET /comm/member/emailDupCheck?memberEmail=test001%40naver.c HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:25:23 +0900] "GET /comm/member/emailDupCheck?memberEmail=test001%40naver.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:25:29 +0900] "GET /comm/member/nicknameDupCheck?memberNickname=test222 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:25:30 +0900] "GET /comm/member/nicknameDupCheck?memberNickname=test2222 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:25:33 +0900] "POST /comm/member/signUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:25:33 +0900] "GET /comm/?message=%ED%9A%8C%EC%9B%90%EA%B0%80%EC%9E%85+%EC%84%B1%EA%B3%B5 HTTP/1.1" 200 7137
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:25:33 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:25:43 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:25:53 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:26:03 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:26:14 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:26:16 +0900] "POST /comm/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:26:16 +0900] "GET /comm/ HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:26:17 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:26:26 +0900] "POST /comm/member/login HTTP/1.1" 302 -
